"Age","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Application ID","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","EmployeeSource","Attrition.cat"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123456,"2","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Human Resources",123457,"1","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"4","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123458,"2","Female","3","2","Sales Executive","4","Single",5993,4,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Marketing",123459,"1","Female","3","2","Sales Executive","4","Single",5993,5,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Human Resources",123460,"1","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Marketing",123461,"1","Female","3","2","Sales Executive","4","Single",5993,5,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123462,"2","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123463,"2","Female","3","2","Sales Executive","4","Single",5993,4,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123464,"2","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123465,"4","Female","3","4","Manager","3","Divorced",14756,2,"Yes",14,"3","3","3",21,2,"3",5,0,0,2,"Company Website","Left"
37,"Travel_Rarely","Human Resources",6,"4","Human Resources",123467,"1","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"4","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123468,"2","Female","3","2","Sales Executive","4","Single",5993,4,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Marketing",123469,"1","Female","3","2","Sales Executive","4","Single",5993,5,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Human Resources",123470,"1","Female","2","1","Human Resources","1","Married",2342,0,"No",21,"4","1","0",8,0,"1",6,4,0,5,"Referral","Left"
37,"Travel_Rarely","Human Resources",6,"4","Marketing",123471,"1","Female","3","2","Sales Executive","4","Single",5993,5,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123472,"2","Female","3","2","Sales Executive","4","Single",5993,8,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
41,"Travel_Rarely","Sales",1,"2","Life Sciences",123473,"2","Female","3","2","Sales Executive","4","Single",5993,4,"Yes",11,"3","1","0",8,0,"1",6,4,0,5,"Referral","Left"
49,"Travel_Frequently","Research & Development",8,"1","Life Sciences",123474,"3","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Human Resources",123475,"1","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Life Sciences",123476,"1","Male","2","2","Research Scientist","2","Married",5130,2,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Marketing",123477,"3","Male","2","2","Research Scientist","2","Married",5130,3,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Life Sciences",123478,"3","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"4","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Marketing",123479,"3","Male","2","2","Research Scientist","2","Married",5130,3,"No",23,"4","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Human Resources",123480,"1","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"4","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Life Sciences",123481,"1","Male","2","2","Research Scientist","2","Married",5130,2,"No",23,"4","4","1",16,3,"2",14,8,6,9,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Life Sciences",123482,"3","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Life Sciences",123483,"2","Male","2","2","Manufacturing Director","2","Single",6499,1,"No",13,"3","3","0",6,3,"3",6,5,0,3,"Indeed","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Life Sciences",123484,"3","Female","3","2","Manufacturing Director","3","Divorced",4810,2,"No",14,"3","3","1",19,5,"2",10,7,0,8,"Referral","Stay"
59,"Non-Travel","Human Resources",2,"4","Human Resources",123485,"1","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Life Sciences",123486,"1","Male","2","2","Research Scientist","2","Married",5130,2,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Marketing",123487,"3","Male","2","2","Research Scientist","2","Married",5130,3,"No",23,"3","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Life Sciences",123488,"3","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"4","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
49,"Travel_Frequently","Research & Development",8,"1","Marketing",123489,"3","Male","2","2","Research Scientist","2","Married",5130,3,"No",23,"4","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Human Resources",123490,"1","Male","2","2","Research Scientist","2","Married",5130,1,"No",23,"4","4","1",10,3,"3",10,7,1,7,"Seek","Stay"
59,"Non-Travel","Human Resources",2,"4","Life Sciences",123491,"1","Male","2","2","Research Scientist","2","Married",5130,2,"No",23,"4","4","1",16,3,"2",14,8,6,9,"Seek","Stay"
54,"Non-Travel","Human Resources",26,"3","Human Resources",123493,"1","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Stay"
37,"Travel_Rarely","Research & Development",2,"2","Life Sciences",123494,"4","Male","2","1","Laboratory Technician","3","Single",2090,1,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
54,"Non-Travel","Human Resources",26,"3","Technical Degree",123495,"1","Male","2","1","Laboratory Technician","3","Single",2090,1,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Stay"
37,"Travel_Rarely","Research & Development",2,"2","Other",123496,"4","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
37,"Travel_Rarely","Research & Development",2,"2","Life Sciences",123497,"4","Male","2","1","Laboratory Technician","3","Single",2090,1,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
54,"Non-Travel","Human Resources",26,"3","Human Resources",123498,"1","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Stay"
37,"Travel_Rarely","Research & Development",2,"2","Other",123499,"4","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
37,"Travel_Rarely","Research & Development",2,"2","Other",123501,"4","Female","2","2","Healthcare Representative","4","Married",4523,0,"No",11,"4","4","3",7,4,"4",6,5,0,4,"Company Website","Left"
54,"Non-Travel","Human Resources",26,"3","Human Resources",123502,"1","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Stay"
37,"Travel_Rarely","Research & Development",2,"2","Life Sciences",123503,"4","Male","2","1","Laboratory Technician","3","Single",2090,1,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
54,"Non-Travel","Human Resources",26,"3","Technical Degree",123504,"1","Male","2","1","Laboratory Technician","3","Single",2090,1,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Stay"
37,"Travel_Rarely","Research & Development",2,"2","Other",123505,"4","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
37,"Travel_Rarely","Research & Development",2,"2","Life Sciences",123506,"4","Male","2","1","Laboratory Technician","3","Single",2090,1,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Left"
54,"Non-Travel","Human Resources",26,"3","Human Resources",123507,"1","Male","2","1","Laboratory Technician","3","Single",2090,6,"Yes",15,"3","2","0",7,3,"3",0,0,0,0,"Seek","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123508,"4","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Human Resources",123509,"1","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
